nombre,gasto_promedio,frecuencia_semanal,categoria
Manuel,466.0041161894143,7,2
Javier,312.3837843879414,5,2
Elena,480.0308924238449,7,2
Luis,456.9469523564967,4,2
Luis,405.1891308194423,7,2
Elena,221.17062422012896,6,2
David,483.27547913755024,7,2
Andrés,375.732674382039,6,2
David,440.2847884047199,7,2
Ana,316.4509778619566,7,2
Carlos,238.55010597017306,4,2
Laura,363.68503679478044,4,2
Camila,387.78190103047183,4,2
Elena,488.35716914717426,5,2
Sofía,262.0053079630236,4,2
Paula,220.80839026254964,6,2
Camila,313.17772496839274,4,2
Laura,228.33288822677852,6,2
Andrés,300.96626446661793,5,2
Miguel,295.6926890881284,5,2
Carlos,404.48410069183694,5,2
Lucía,444.34054477668076,4,2
Manuel,348.81123628802186,5,2
Valeria,409.0211496092452,4,2
Javier,480.9944455567122,7,2
Pedro,420.5213131411657,4,2
David,490.27416545607423,7,2
Ana,253.23186313391685,4,2
Paula,370.5560851249875,6,2
Marta,497.151542600202,7,2
Carlos,238.30691882673966,4,2
Carlos,432.9238882225991,7,2
Luis,460.13498216291663,7,2
David,457.52382555290353,4,2
Sofía,403.9534339700738,6,2
Carlos,426.3628622254047,4,2
Laura,313.31866585288844,4,2
Javier,351.5757117343571,7,2
Pedro,316.885425865761,4,2
Andrés,468.65696854886016,4,2
David,216.04558902421067,4,2
Miguel,471.6145929257791,7,2
Ana,306.4715571388162,7,2
Pedro,485.01859011524147,7,2
Andrés,344.75628489279273,5,2
Luis,389.55116365093977,4,2
Paula,227.5112441775443,7,2
Pedro,298.5993636109748,6,2
David,263.8183685072687,4,2
Sebastián,437.4737131177545,4,2
Camila,234.0393806052344,4,2
Camila,348.32609141077444,6,2
Marta,498.77937260909874,5,2
David,332.4591504120131,6,2
Ana,363.7747310494967,6,2
Diego,235.12010492828176,7,2
Camila,406.4090030525117,5,2
Miguel,385.4654189948783,4,2
Luis,451.5442291291955,5,2
Javier,410.29073943773597,5,2
Elena,318.99548058627556,6,2
Ana,411.87266814694885,4,2
Paula,353.99785060771785,5,2
Elena,495.99187355035264,7,2
Paula,458.94155659670116,5,2
Diego,443.83987017725076,6,2
Javier,472.3081119045639,4,2
Miguel,426.0134555776825,5,2
Sofía,412.45435867495996,6,2
